Name,Code,Row #,Country Code,Landmark Category,Location Label,Full Address,Map Centroid Longitude,Map Centroid Latitude,Map Accuracy Catagory,Map Coordinate System Category,Is Boundary Map On File?,Is Subdivision Parent Same as Enclosing Subdivision?,Subdivision Parent Code,Municipality ,Parent of Municipality,Parent Subdivision Category,Capacity,Capacity Metric Category,Year Opened,Ventilation Category,Landmark Notes ,Photo File ,Is Emergency Contact Recorded,
El Montecillo,,,ESP,Stadium,,,,,,,,,,Aranda de Duero,Castile and León,Autonomous Community,"5,000",Spectator Seats,1977,Open Air,,,,
El Plantío,,,ESP,Stadium,,,,,,,,,,Burgos,Castile and León,Autonomous Community,"14,000",Spectator Seats,1964,Open Air,,"Estadio El Plantio, Burgos.jpg",,
El Prado,,,ESP,Stadium,,,,,,,,,,Talavera de la Reina,Castile-La Mancha,Autonomous Community,"5,000",Spectator Seats,1944,Open Air,,Lleno hasta la bandera.jpg,,
El Sadar,,,ESP,Stadium,,,,,,,,,,Pamplona,Navarre,Autonomous Community,"19,800",Spectator Seats,1967,Open Air,,Inside Estadio Reyno de Navarra.JPG,,
El Sardinero,,,ESP,Stadium,,,,,,,,,,Santander,Cantabria,Autonomous Community,"22,222",Spectator Seats,1988,Open Air,,Campordelracing-v1.PNG,,
El Soto,,,ESP,Stadium,,,,,,,,,,Móstoles,Madrid,Autonomous Community,"14,000",Spectator Seats,1981,Open Air,,,,
El Toralín,,,ESP,Stadium,,,,,,,,,,Ponferrada,Castile and León,Autonomous Community,"8,800",Spectator Seats,2000,Open Air,,El Toralín.jpg,,
Estadi Balear,,,ESP,Stadium,,,,,,,,,,Palma de Mallorca,Balearic Islands,Autonomous Community,"18,000",Spectator Seats,1960,Open Air,,Estadi.balear.JPG,,
Estadi Cornellà-El Prat,,,ESP,Stadium,,,,,,,,,,Barcelona,Catalonia,Autonomous Community,"40,500",Spectator Seats,2009,Open Air,,EstadioRCDE Pano.jpg,,
Estadi La Feixa Llarga,,,ESP,Stadium,,,,,,,,,,L'Hospitalet de Llobregat,Catalonia,Autonomous Community,"6,719",Spectator Seats,1999,Open Air,,,,
Estadio Ciudad de Tudela,,,ESP,Stadium,,,,,,,,,,Tudela,Navarre,Autonomous Community,"11,000",Spectator Seats,1969,Open Air,,,,
Estadio del Mediterráneo,,,ESP,Stadium,,,,,,,,,,Almería,Andalusia,Autonomous Community,"21,350",Spectator Seats,2004,Open Air,,Panorámica del Estadio de los juegos mediterráneos.jpg,,
Estadio El Val,,,ESP,Stadium,,,,,,,,,,Alcalá de Henares,Madrid,Autonomous Community,"7,000",Spectator Seats,1973,Open Air,,RSD Alcalá-La Nucía.JPG,,
